N,length,width,fgap,ggap,taper,1_1,1_2,1_GND,2_1,2_2,2_GND,GND_1,GND_2,GND_GND
2,100.0,10.0,10.0,75.0,50.00000001,3.071495287167453e-17,6.037064027984137e-15,2.846253120214224e-14,6.037064027984137e-15,2.7218845704060613e-17,2.8698340419596203e-14,2.846253120214224e-14,2.8698340419596203e-14,2.4376795244080234e-13
3,100.0,10.0,10.0,75.0,50.0,4.202281145861577e-17,1.044782602576483e-14,3.497897787695204e-14,1.044782602576483e-14,2.8159458206096525e-17,2.817873270218722e-14,3.497897787695204e-14,2.817873270218722e-14,2.4283760078286055e-13
3,100.00000001,10.0,10.0,75.0,50.0,4.202281145861577e-17,1.044782602576483e-14,3.497897787695204e-14,1.044782602576483e-14,2.8159458206096525e-17,2.817873270218722e-14,3.497897787695204e-14,2.817873270218722e-14,2.4283760078286055e-13
3,100.0,10.00000001,10.0,75.0,50.0,4.202281145861577e-17,1.044782602576483e-14,3.497897787695204e-14,1.044782602576483e-14,2.8159458206096525e-17,2.817873270218722e-14,3.497897787695204e-14,2.817873270218722e-14,2.4283760078286055e-13
3,100.0,10.0,10.00000001,75.0,50.0,4.202281145861577e-17,1.044782602576483e-14,3.497897787695204e-14,1.044782602576483e-14,2.8159458206096525e-17,2.817873270218722e-14,3.497897787695204e-14,2.817873270218722e-14,2.4283760078286055e-13
3,100.0,10.0,10.0,75.00000001,50.0,4.202281145861577e-17,1.044782602576483e-14,3.497897787695204e-14,1.044782602576483e-14,2.8159458206096525e-17,2.817873270218722e-14,3.497897787695204e-14,2.817873270218722e-14,2.4283760078286055e-13
3,100.0,10.0,10.0,75.0,50.00000001,4.202281145861577e-17,1.044782602576483e-14,3.497897787695204e-14,1.044782602576483e-14,2.8159458206096525e-17,2.817873270218722e-14,3.497897787695204e-14,2.817873270218722e-14,2.4283760078286055e-13
4,100.0,10.0,10.0,75.0,50.0,4.066411715850349e-17,1.5161345453028662e-14,3.412695303367519e-14,1.5161345453028662e-14,3.982315536727802e-17,3.405417597528581e-14,3.412695303367519e-14,3.405417597528581e-14,2.4282484167111613e-13
4,100.00000001,10.0,10.0,75.0,50.0,4.066411715850349e-17,1.5161345453028662e-14,3.412695303367519e-14,1.5161345453028662e-14,3.982315536727802e-17,3.405417597528581e-14,3.412695303367519e-14,3.405417597528581e-14,2.4282484167111613e-13
4,100.0,10.00000001,10.0,75.0,50.0,4.066411715850349e-17,1.5161345453028662e-14,3.412695303367519e-14,1.5161345453028662e-14,3.982315536727802e-17,3.405417597528581e-14,3.412695303367519e-14,3.405417597528581e-14,2.4282484167111613e-13
4,100.0,10.0,10.00000001,75.0,50.0,4.066411715850349e-17,1.5161345453028662e-14,3.412695303367519e-14,1.5161345453028662e-14,3.982315536727802e-17,3.405417597528581e-14,3.412695303367519e-14,3.405417597528581e-14,2.4282484167111613e-13
4,100.0,10.0,10.0,75.00000001,50.0,4.066411715850349e-17,1.5161345453028662e-14,3.412695303367519e-14,1.5161345453028662e-14,3.982315536727802e-17,3.405417597528581e-14,3.412695303367519e-14,3.405417597528581e-14,2.4282484167111613e-13
4,100.0,10.0,10.0,75.0,50.00000001,4.066411715850349e-17,1.5161345453028662e-14,3.412695303367519e-14,1.5161345453028662e-14,3.982315536727802e-17,3.405417597528581e-14,3.412695303367519e-14,3.405417597528581e-14,2.4282484167111613e-13
5,100.0,10.0,10.0,75.0,50.0,5.2072408895930435e-17,1.9839155977087063e-14,3.964722003008924e-14,1.9839155977087063e-14,3.858012631602658e-17,3.2777959965762195e-14,3.964722003008924e-14,3.2777959965762195e-14,2.4370701658072003e-13
5,100.00000001,10.0,10.0,75.0,50.0,5.207240889591782e-17,1.9839155977087063e-14,3.964722003008926e-14,1.9839155977087063e-14,3.858012631603919e-17,3.2777959965762176e-14,3.964722003008926e-14,3.2777959965762176e-14,2.4370701658071963e-13
5,100.0,10.00000001,10.0,75.0,50.0,5.207240889591782e-17,1.9839155977087063e-14,3.964722003008926e-14,1.9839155977087063e-14,3.858012631602658e-17,3.2777959965762195e-14,3.964722003008926e-14,3.2777959965762195e-14,2.437070165807193e-13
5,100.0,10.0,10.00000001,75.0,50.0,5.2072408895930435e-17,1.9839155977087063e-14,3.964722003008924e-14,1.9839155977087063e-14,3.8580126316013956e-17,3.27779599657622e-14,3.964722003008924e-14,3.27779599657622e-14,2.437070165807193e-13
5,100.0,10.0,10.0,75.00000001,50.0,5.2072408895930435e-17,1.9839155977087063e-14,3.964722003008924e-14,1.9839155977087063e-14,3.858012631602658e-17,3.2777959965762195e-14,3.964722003008924e-14,3.2777959965762195e-14,2.437070165807187e-13
